@relation answerExp1
@attribute AnswerType STRING
@attribute Question STRING
@data
"HUM:ind" , "who played the title role in the romantic englishwoman" 
"HUM:ind" , "what president once told gene autry please give my regards to your wife dale" 
"HUM:ind" , "who made the deodorant that claimed that it actually builds up resistance to odor" 
"HUM:ind" , "who used as an election slogan" 
"NUM:period" , "how long do you have to pay back debt after claiming chapter bankruptcy" 
"LOC:other" , "what ocean surrounds the maldive islands" 
"LOC:country" , "what south american country won its first world cup soccer title in" 
"NUM:count" , "how many cullions does a male have" 
"HUM:ind" , "what painter popularized soup cans and brillo soap pad boxes" 
"HUM:ind" , "who played lucas mccain on the rifleman" 
"LOC:other" , "what colorful sea region does greek legend say the amazons lived near" 
"HUM:ind" , "who was the only person convicted in the my lai massacre" 
"LOC:other" , "on what continent is mozambique" 
"HUM:ind" , "who was the lawyer who represented randy steven craft" 
"HUM:ind" , "what part did benjamin franklin play in the development of the newspaper in america" 
"NUM:date" , "when was microsoft established" 
"NUM:date" , "when did president kennedy lee harvey oswald and jack ruby all die" 
"LOC:other" , "what is the location of procter gamble corporate offices" 
"LOC:state" , "what state is known as the hawkeye state" 
"HUM:ind" , "who is the prime minister of australia" 
"LOC:state" , "what are all the southern states of the" 
"LOC:other" , "what does the river seine empty into" 
"LOC:state" , "what state did anita bryant represent in the miss america contest" 
"NUM:count" , "how many soldiers were involved in the last panama invasion by the united states of america" 
"NUM:count" , "how many propellers helped power the plane the wright brothers flew into history" 
"HUM:ind" , "who died with more than patents to his credit" 
"HUM:ind" , "what was the name of randy steven craft lawyer" 
"HUM:ind" , "who won the first general election for president held in malawi in may" 
"LOC:other" , "where is south bend" 
"LOC:country" , "what country has the most coastline" 
"LOC:state" , "what two states is washington between" 
"NUM:date" , "in what year did joe dimaggio compile his hitting streak" 
"NUM:date" , "what year was the setting for american graffiti" 
"NUM:date" , "when did the art of quilting begin" 
"NUM:money" , "how much did the investigation cost" 
"HUM:ind" , "what argentine revolutionary fought with castro and died in bolivia in may" 
"LOC:other" , "what botanical marvel did nebuchadnezzar build" 
"HUM:ind" , "what famous comic strip character died of acne" 
"NUM:count" , "how many john deere tractors have been manufactured" 
"NUM:date" , "when did communist control end in hungary" 
"HUM:ind" , "what has been the most common christian name of presidents" 
"NUM:count" , "how many cherubs are there on a trivial pursuit board" 
"NUM:count" , "how many people live in chile" 
"LOC:country" , "what european country monarchy was restored in" 
"HUM:ind" , "what english explorer discovered and named virginia" 
"LOC:country" , "what country is home to heineken beer" 
"NUM:date" , "when did charles lindbergh die" 
"NUM:count" , "how many athletes did puerto rico enter in the winter olympics" 
"LOC:other" , "what is the highest continent" 
"LOC:other" , "where can i find information on becoming a journalist" 
"LOC:city" , "in what city does maurizio pellegrin now live" 
"NUM:temp" , "what is the temperature today" 
"NUM:temp" , "what is the temperature for cooking" 
